block_c,PID,accuracy_value,accuracy_se,confidence_value,confidence_se
1,01LF,0.16666666666666666,0.15214515486254615,0.6811666666666667,0.07041454644852592
1,01al,0.3333333333333333,0.19245008972987526,0.7541333333333333,0.06443928888261392
1,01cs,0.5,0.2041241452319315,0.52305,0.023329554676940933
1,02CS,0.3333333333333333,0.19245008972987526,0.7160166666666666,0.06916931856261474
1,02LF,0.5,0.2041241452319315,0.8469166666666667,0.04663317592405394
1,02al,NA,NA,NA,NA
1,03AL,0.6666666666666666,0.19245008972987526,0.8259333333333333,0.07329519233776653
1,03CS,0.16666666666666666,0.15214515486254615,0.7107,0.06616477413677804
1,03LF,0.6666666666666666,0.19245008972987526,0.7544500000000001,0.00482793306448769
1,04AL,0.6666666666666666,0.19245008972987526,0.6453833333333333,0.08042736170167783
1,04CS,0.5,0.2041241452319315,0.7390833333333333,0.07727672459699275
1,04LF,0.16666666666666666,0.15214515486254615,0.6238333333333334,0.050354075357684304
1,05AL,0.3333333333333333,0.19245008972987526,0.6722833333333333,0.07920022097666617
1,05CS,0,0,0.6628166666666666,0.08272580322820067
1,06AL,0.6666666666666666,0.19245008972987526,0.4060166666666667,0.03683637151722692
1,06CS,0.6666666666666666,0.19245008972987526,0.5753666666666667,0.05681162343419118
1,07CS,0.5,0.2041241452319315,0.39213333333333333,0.020760609872164368
1,07al,0.16666666666666666,0.15214515486254615,0.8366,0.059541013723814165
2,01LF,0.16666666666666666,0.15214515486254615,0.7121833333333333,0.023357669273384032
2,01al,0.25,0.21650635094610965,0.494675,0.13168228270251725
2,01cs,0.6666666666666666,0.19245008972987526,0.61495,0.013806841532507356
2,02CS,0.3333333333333333,0.19245008972987526,0.5620666666666667,0.04175727853039141
2,02LF,0.3333333333333333,0.19245008972987526,0.7671333333333333,0.05428613535041503
2,02al,0.5,0.3535533905932738,0.84755,0.02598235679883332
2,03AL,0.6666666666666666,0.19245008972987526,0.8498666666666667,0.022751051800488555
2,03CS,0.5,0.2041241452319315,0.7281333333333333,0.06690906227897547
2,03LF,0.6666666666666666,0.19245008972987526,0.7544500000000001,0.010080479857501375
2,04AL,0.3333333333333333,0.19245008972987526,0.49141666666666667,0.056793048054420855
2,04CS,0.5,0.2041241452319315,0.7378833333333333,0.043523356615320904
2,04LF,0.8333333333333334,0.15214515486254612,0.7408333333333333,0.05257848557320762
2,05AL,0.6666666666666666,0.19245008972987526,0.6832166666666667,0.049286464014885935
2,05CS,0.16666666666666666,0.15214515486254615,0.5780166666666666,0.07307545968998273
2,06AL,0.8333333333333334,0.15214515486254612,0.4796166666666667,0.06753002217641232
2,06CS,0.16666666666666666,0.15214515486254615,0.6672333333333333,0.07329576303313552
2,07CS,0.3333333333333333,0.19245008972987526,0.3882833333333333,0.007173090415128164
2,07al,0.3333333333333333,0.19245008972987526,0.7115666666666667,0.061550637327360734
3,01LF,0.2,0.1788854381999832,0.73902,0.04227630952456565
3,01al,0,0,0.5337,0
3,01cs,0.16666666666666666,0.15214515486254615,0.6826166666666666,0.02399706948972809
3,02CS,0.6666666666666666,0.19245008972987526,0.6474666666666666,0.048170634905027036
3,02LF,0,0,0.49734999999999996,0.06089538390304968
3,02al,0.6666666666666666,0.2721655269759087,0.6737666666666667,0.11275460988958357
3,03AL,1,0,0.9834499999999999,0.014824979730981899
3,03CS,0.3333333333333333,0.19245008972987526,0.6728666666666667,0.09127259711345867
3,03LF,0.3333333333333333,0.19245008972987526,0.7458833333333333,0.01302401285937723
3,04AL,0.16666666666666666,0.15214515486254615,0.46541666666666665,0.04666029055497485
3,04CS,0.3333333333333333,0.19245008972987526,0.6087333333333333,0.08048498450853749
3,04LF,0.3333333333333333,0.19245008972987526,0.6690333333333334,0.04892433991374842
3,05AL,0.16666666666666666,0.15214515486254615,0.54935,0.0892409737195394
3,05CS,0.3333333333333333,0.19245008972987526,0.5124,0.06530978557030523
3,06AL,0.8333333333333334,0.15214515486254612,0.6660666666666667,0.07351084433011865
3,06CS,0.3333333333333333,0.19245008972987526,0.6329833333333333,0.07691066876861373
3,07CS,0.16666666666666666,0.15214515486254615,0.42523333333333335,0.006825071649499259
3,07al,0.5,0.2041241452319315,0.5484833333333333,0.05570585699081004
4,01LF,0.3333333333333333,0.19245008972987526,0.63505,0.04619030310459812
4,01al,1,0,0.6749499999999999,0.08174562400918421
4,01cs,0.8333333333333334,0.15214515486254612,0.7523666666666666,0.01065151877365471
4,02CS,0.6666666666666666,0.19245008972987526,0.7452666666666666,0.02917926846035065
4,02LF,0.5,0.2041241452319315,0.44593333333333335,0.024374161901648397
4,02al,0.5,0.3535533905932738,0.6002000000000001,6.786151882245229e-4
4,03AL,0.6666666666666666,0.19245008972987526,0.9128333333333334,0.07981531800519183
4,03CS,0.3333333333333333,0.19245008972987526,0.6264666666666666,0.043114086437255186
4,03LF,0.8333333333333334,0.15214515486254612,0.73345,0.008725509154856221
4,04AL,0.8333333333333334,0.15214515486254612,0.5729833333333333,0.04329664521946929
4,04CS,0.5,0.2041241452319315,0.64125,0.07103226064790895
4,04LF,1,0,0.7367166666666667,0.05352219970119365
4,05AL,0.3333333333333333,0.19245008972987526,0.66135,0.07447581304686249
4,05CS,0.3333333333333333,0.19245008972987526,0.54225,0.07075135400182798
4,06AL,0.5,0.2041241452319315,0.6108166666666667,0.0785133672560415
4,06CS,0.16666666666666666,0.15214515486254615,0.5963333333333334,0.08847908401364496
4,07CS,0.16666666666666666,0.15214515486254615,0.5724166666666667,0.03433926779970251
4,07al,0.6666666666666666,0.19245008972987526,0.75385,0.060960838773011505
5,01LF,0.3333333333333333,0.19245008972987526,0.6327,0.04381250269080523
5,01al,0.6666666666666666,0.19245008972987526,0.5655833333333333,0.06922098429425541
5,01cs,0.5,0.2041241452319315,0.7234,0.016617618369039355
5,02CS,0.5,0.2041241452319315,0.7118833333333333,0.048044056630177835
5,02LF,0.3333333333333333,0.19245008972987526,0.5077,0.017434877918796027
5,02al,1,0,0.8767499999999999,0.04210535419233711
5,03AL,0.6666666666666666,0.19245008972987526,0.8028833333333334,0.11997454283142192
5,03CS,0.5,0.2041241452319315,0.6805666666666667,0.062412270580196334
5,03LF,0.6666666666666666,0.19245008972987526,0.7343166666666667,0.009886044902632814
5,04AL,0.6666666666666666,0.19245008972987526,0.6386166666666666,0.06564108430363691
5,04CS,0.8333333333333334,0.15214515486254612,0.8767666666666667,0.037096013598924595
5,04LF,1,0,0.8522333333333334,0.01639137704545298
5,05AL,0.3333333333333333,0.19245008972987526,0.73375,0.0577827847916103
5,05CS,0.3333333333333333,0.19245008972987526,0.42433333333333334,0.04360076201882204
5,06AL,0.6666666666666666,0.19245008972987526,0.6589833333333334,0.07428620516226728
5,06CS,0.3333333333333333,0.19245008972987526,0.8419,0.013741746145594062
5,07CS,0.3333333333333333,0.19245008972987526,0.5298333333333334,0.036496794805571206
5,07al,0.16666666666666666,0.15214515486254615,0.7975666666666668,0.0421265549710777
6,01LF,0.5,0.25,0.574,0.03127644958173015
6,01al,0.6666666666666666,0.19245008972987526,0.5750666666666666,0.07616587022903804
6,01cs,0.3333333333333333,0.19245008972987526,0.7594666666666667,0.009485141190541956
6,02CS,0.8333333333333334,0.15214515486254612,0.83955,0.024316470907497327
6,02LF,0.6666666666666666,0.19245008972987526,0.5851166666666667,0.052930518725452666
6,02al,0,0,0.7748,0
6,03AL,0.6666666666666666,0.19245008972987526,0.8436666666666667,0.09595131597423925
6,03CS,0.8333333333333334,0.15214515486254612,0.797,0.05248159010213989
6,03LF,0.8333333333333334,0.15214515486254612,0.7384666666666667,0.012190388842825922
6,04AL,0.5,0.2041241452319315,0.5608833333333333,0.04364796099323134
6,04CS,0.8333333333333334,0.15214515486254612,0.6903166666666667,0.08245319499080295
6,04LF,0.6666666666666666,0.19245008972987526,0.6120166666666667,0.09417185067977325
6,05AL,0.5,0.2041241452319315,0.5186166666666666,0.08272429551278067
6,05CS,0,0,0.5514166666666667,0.03589648695659108
6,06AL,0.8333333333333334,0.15214515486254612,0.6371,0.10966162442232037
6,06CS,0,0,0.85195,0.014438639367139032
6,07CS,0.5,0.2041241452319315,0.48256666666666664,0.03323854410096401
6,07al,0.5,0.2041241452319315,0.6776,0.05881661870690641
7,01LF,0.6666666666666666,0.19245008972987526,0.6084833333333334,0.027720719637318612
7,01al,0.6666666666666666,0.19245008972987526,0.6788,0.08320215552460196
7,01cs,0.3333333333333333,0.19245008972987526,0.7296,0.006034047446323391
7,02CS,0.6666666666666666,0.19245008972987526,0.7615333333333334,0.0385244462687015
7,02LF,0.8333333333333334,0.15214515486254612,0.5966333333333333,0.04031587271166311
7,02al,0.25,0.21650635094610965,0.698125,0.09884189057853883
7,03AL,0.5,0.2041241452319315,0.7698,0.10763770956157329
7,03CS,0.8333333333333334,0.15214515486254612,0.79815,0.0522108847170328
7,03LF,0.5,0.2041241452319315,0.7284333333333333,0.009198712821216282
7,04AL,0.3333333333333333,0.19245008972987526,0.58095,0.05356553887532183
7,04CS,0.6666666666666666,0.19245008972987526,0.5924833333333334,0.04541807494370121
7,04LF,0.6666666666666666,0.19245008972987526,0.8525333333333334,0.04119915327073947
7,05AL,0.8333333333333334,0.15214515486254612,0.7432166666666666,0.06421559634997061
7,05CS,0,0,0.47223333333333334,0.018953588326845107
7,06AL,1,0,0.7101,0.07455760504692636
7,06CS,0.16666666666666666,0.15214515486254615,0.7783666666666667,0.06859135689599809
7,07CS,0.5,0.2041241452319315,0.4639333333333333,0.06948356249061514
7,07al,0.3333333333333333,0.19245008972987526,0.789,0.04413993006188176
8,01LF,0.6666666666666666,0.19245008972987526,0.6013833333333333,0.04210240363131215
8,01al,0.6666666666666666,0.19245008972987526,0.5602833333333334,0.08862092383698969
8,01cs,0.5,0.2041241452319315,0.7107,0.008066861694049564
8,02CS,0.6666666666666666,0.19245008972987526,0.6693333333333333,0.057203527368503544
8,02LF,0.3333333333333333,0.19245008972987526,0.6468833333333333,0.057138321129477636
8,02al,0.75,0.21650635094610965,0.659575,0.12132928664867454
8,03AL,0.8333333333333334,0.15214515486254612,0.8165,0.11067118905430585
8,03CS,0.8333333333333334,0.15214515486254612,0.8974666666666666,0.01860509372188643
8,03LF,0.6666666666666666,0.19245008972987526,0.7053833333333334,0.02010717746933638
8,04AL,0.5,0.2041241452319315,0.5794833333333334,0.04909123506882676
8,04CS,0.5,0.2041241452319315,0.6524833333333333,0.08492567792058402
8,04LF,1,0,0.8259333333333333,0.05689869855914205
8,05AL,0.6666666666666666,0.19245008972987526,0.60785,0.06925556351867423
8,05CS,0.3333333333333333,0.19245008972987526,0.6264833333333333,0.045589672032945956
8,06AL,0.5,0.2041241452319315,0.6779,0.07866576119362721
8,06CS,0,0,0.6719833333333334,0.06124366915590596
8,07CS,0.6666666666666666,0.19245008972987526,0.5115333333333334,0.06992935292669526
8,07al,0.16666666666666666,0.15214515486254615,0.7124666666666667,0.06897762697473994
9,01LF,0.6,0.21908902300206645,0.6780200000000001,0.09149113834193295
9,01al,1,0,0.6631166666666667,0.05603357831387842
9,01cs,0,0,0.7124666666666667,0.018146770112418945
9,02CS,0.6,0.21908902300206645,0.8117,0.015549336870980557
9,02LF,0.8333333333333334,0.15214515486254612,0.6903,0.048114017121913384
9,02al,0.6,0.21908902300206645,0.72872,0.07551773349557304
9,03AL,0.16666666666666666,0.15214515486254615,0.78545,0.09310808303678908
9,03CS,0.5,0.2041241452319315,0.6974,0.08232545798911847
9,03LF,0.6666666666666666,0.19245008972987526,0.7228166666666667,0.006387347240947058
9,04AL,0.16666666666666666,0.15214515486254615,0.5833333333333334,0.055967115008415766
9,04CS,1,0,0.73255,0.04715194545509443
9,04LF,0.5,0.2041241452319315,0.5996,0.10640125070223116
9,05AL,0.5,0.2041241452319315,0.6096666666666667,0.08536249870252853
9,05CS,0.16666666666666666,0.15214515486254615,0.5118166666666667,0.03652840309630057
9,06AL,0.8333333333333334,0.15214515486254612,0.62765,0.08533410402870344
9,06CS,0.5,0.2041241452319315,0.5588,0.05421932551007679
9,07CS,0.6666666666666666,0.19245008972987526,0.4648333333333333,0.06332508021796167
9,07al,0.5,0.2041241452319315,0.7183833333333334,0.048060136262485564
10,02al,1,0,0.9314333333333333,0.004106544650062189
11,02al,NA,NA,NA,NA
12,02al,0.3333333333333333,0.19245008972987526,0.7047833333333333,0.0857690308291349
